family,mode,prompt,dir,n,expected,scored,F1,P,R,TP,FP,FN,TN,induction,outcome,species,fail,kb,think,loop
Qwen3-4B,Instruct,v2,results/dev/Qwen3-4B-Instruct-2507,175,175,175,0.422,0.529,0.351,74,66,137,0,0.79,0.874,0.979,1,0.672890625,0.0,0
Qwen3-4B,Thinking,v2,results/dev/Qwen3-4B-Thinking-2507,175,175,175,0.544,0.592,0.502,106,73,105,0,0.858,0.932,0.976,2,24.818052455357144,97.71428571428571,24
Qwen3-8B,Instruct,v2,results/dev/Qwen3-8B,175,175,175,0.491,0.561,0.436,92,72,119,0,0.883,0.946,0.983,5,0.7459821428571428,0.0,0
Qwen3-8B,Thinking,v3,results/simple_8b/Qwen3-8B,267,267,267,0.598,0.608,0.588,124,80,87,83,0.838,0.941,0.974,0,4.168484462780899,100.0,0
Qwen3.6-27B,Instruct,v3,results/qwen36_v3/Qwen3.6-27B,267,267,267,0.592,0.592,0.592,125,86,86,88,0.853,0.945,0.975,0,0.5877626111891385,0.0,0
Qwen3.6-27B,Thinking,v3,results/simple_36/Qwen3.6-27B,267,267,267,0.526,0.509,0.545,115,111,96,80,0.815,0.936,0.978,0,9.64266956343633,100.0,0
