model,params,mode,prompt,norm,dir,n_files,F1,P,R,TP,FP,FN,TN,induction,outcome,species,fail
Qwen3-8B,8,Thinking,v6lite,jamie,results_jamie/q8b_think_v6lite/Qwen3-8B,267,0.695,0.729,0.664,140,52,71,88,0.874,0.937,0.983,0
Qwen3-8B,8,Thinking,v6lite,hgnc,results_norm/q8b_think_v6lite/Qwen3-8B,267,0.739,0.776,0.706,149,43,62,88,0.871,0.931,0.984,0
Qwen3-8B,8,Thinking,v6lite,cascade,results_cascade_all/results_norm/q8b_think_v6lite/Qwen3-8B,267,0.799,0.839,0.763,161,31,50,88,0.874,0.935,0.985,0
Magistral,24,Thinking,v6,none,results/magi_think_v6/Magistral-Small-2509,267,0.729,0.719,0.739,156,61,55,83,0.882,0.97,0.97,1
Magistral,24,Thinking,v6,jamie,results_jamie/magi_think_v6/Magistral-Small-2509,267,0.771,0.76,0.782,165,52,46,83,0.885,0.971,0.971,1
Magistral,24,Thinking,v6,hgnc,results_norm/magi_think_v6/Magistral-Small-2509,267,0.796,0.787,0.806,170,46,41,83,0.881,0.968,0.972,1
Magistral,24,Thinking,v6,cascade,results_cascade_all/results_norm/magi_think_v6/Magistral-Small-2509,267,0.838,0.829,0.848,179,37,32,83,0.882,0.969,0.973,1
Gemma-4-12B,12,Thinking,v6,none,results/gemma4_v6/gemma-4-12B-it,267,0.621,0.617,0.626,132,82,79,90,0.869,0.938,0.982,1
Gemma-4-12B,12,Thinking,v6,jamie,results_jamie/gemma4_v6/gemma-4-12B-it,267,0.706,0.701,0.711,150,64,61,90,0.873,0.938,0.984,1
Gemma-4-12B,12,Thinking,v6,hgnc,results_norm/gemma4_v6/gemma-4-12B-it,267,0.745,0.742,0.749,158,55,53,90,0.868,0.942,0.985,1
Gemma-4-12B,12,Thinking,v6,cascade,results_cascade_all/results_norm/gemma4_v6/gemma-4-12B-it,267,0.807,0.803,0.81,171,42,40,90,0.876,0.945,0.986,1
